LAD23NM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bath and North East Somerset,385.3,383.9,402.0,380.5,403.1,411.6,386.0,411.1,447.7,421.8,444.1,460.0,448.4,458.5,529.9,566.5,596.0
Mid Suffolk,386.1,381.7,364.1,392.1,372.9,400.5,403.1,406.2,432.4,424.9,451.6,476.2,449.9,479.1,499.1,556.3,602.1
North Warwickshire,386.2,388.6,412.3,404.1,405.6,411.6,429.8,422.2,454.7,456.0,488.5,512.1,498.2,552.7,597.3,626.2,622.6
North West Leicestershire,386.7,397.5,398.5,400.5,398.1,413.6,402.4,410.1,416.6,421.2,452.2,464.4,475.9,492.1,589.4,538.3,625.3
Folkestone and Hythe,386.8,408.0,401.9,402.5,418.1,422.1,394.3,421.5,421.9,432.4,442.4,466.5,431.0,507.3,555.9,551.7,617.5
Derby,387.1,378.4,396.2,386.6,414.4,410.9,434.7,423.7,443.0,461.1,482.6,491.2,485.0,495.2,500.9,548.4,579.8
Dover,387.4,450.1,427.2,443.0,446.4,426.0,432.3,425.7,447.9,439.7,474.9,493.4,465.1,500.5,568.7,545.4,643.3
Test Valley,387.6,435.5,415.7,436.4,426.1,423.3,421.8,460.2,478.1,502.2,498.3,510.0,486.1,538.8,574.1,613.2,651.5
Falkirk,388.4,408.6,396.7,406.6,409.5,427.4,431.8,438.8,459.1,452.7,461.4,473.9,489.7,511.4,544.7,602.4,609.9
Bromsgrove,389.3,417.0,446.9,417.9,453.4,460.6,457.0,485.8,495.4,508.6,466.7,522.6,510.9,571.1,588.7,646.0,661.4
Rushmoor,390.4,440.8,459.2,452.8,418.3,468.1,461.2,459.9,476.5,479.1,519.7,537.5,543.5,511.6,581.7,590.8,656.1
Wiltshire,391.2,389.5,388.2,390.8,383.8,387.1,386.6,412.3,418.8,440.7,451.9,441.4,448.6,484.5,531.5,558.7,588.5
Crawley,392.3,402.0,424.1,413.3,437.3,410.8,446.3,475.9,464.2,463.0,464.8,500.3,511.6,519.7,561.7,575.0,645.0
South Staffordshire,392.5,407.9,421.6,400.0,403.4,417.9,433.7,459.2,460.0,475.6,500.1,502.2,536.8,526.1,573.8,579.7,586.6
South Ayrshire,393.3,421.0,426.0,418.3,429.7,427.0,429.4,440.1,421.0,461.7,458.9,499.2,482.3,499.9,524.8,575.8,692.9
North Lincolnshire,394.8,377.0,383.5,395.5,404.3,422.2,435.9,417.1,408.3,414.6,424.1,407.5,421.5,474.9,512.3,555.1,611.7
Renfrewshire,395.2,391.7,396.5,403.0,413.9,429.0,429.9,426.9,455.2,445.6,458.0,480.2,485.4,556.3,557.7,625.7,615.6
Forest of Dean,395.3,364.5,396.5,400.3,414.7,395.0,394.6,386.5,372.2,400.5,402.7,433.8,401.4,466.0,544.7,613.3,607.2
"Bristol, City of",395.5,395.3,397.9,399.7,408.6,412.5,421.7,442.9,449.3,451.8,470.3,503.0,507.9,528.2,560.5,600.0,634.7
East Dunbartonshire,396.8,457.9,465.4,470.1,466.1,478.9,487.1,467.0,510.2,533.2,565.1,558.0,586.5,612.6,637.1,740.0,771.3
Basildon,397.4,442.2,425.1,436.0,445.3,466.2,408.8,439.9,462.1,469.6,473.8,489.0,480.7,529.6,501.1,584.2,645.6
South Gloucestershire,397.5,398.3,413.6,408.8,415.5,418.4,440.8,422.1,441.0,459.1,452.0,458.7,476.5,501.6,553.7,596.0,655.6
Aberdeenshire,398.2,422.2,418.5,403.9,420.0,433.4,418.6,440.1,420.0,439.1,467.7,498.3,478.2,498.9,528.3,596.3,612.7
Colchester,398.6,408.6,407.2,419.1,410.5,425.5,419.4,392.7,426.9,446.2,428.1,454.4,457.7,471.3,546.1,563.5,615.8
South Norfolk,399.7,421.6,402.0,405.7,401.9,405.9,416.6,399.9,430.4,426.4,476.0,490.1,457.9,512.7,529.0,560.7,657.9
Cheshire East,402.4,391.0,403.5,386.4,402.5,421.6,421.7,421.4,426.3,450.7,466.6,493.0,503.7,493.0,537.0,567.8,648.0
Newham,403.0,421.6,422.4,382.5,369.8,387.6,393.7,421.6,436.7,471.3,475.9,517.5,534.4,574.9,574.9,633.9,635.9
East Cambridgeshire,403.6,415.5,418.7,418.1,448.8,449.6,426.8,456.9,451.8,465.0,470.9,523.1,489.9,548.8,576.7,615.1,636.9
South Derbyshire,405.2,379.1,423.4,390.2,414.8,442.8,438.1,452.8,481.2,480.7,502.1,523.5,574.9,561.1,583.3,623.9,650.6
South Ribble,405.9,365.9,387.7,383.9,372.5,389.5,401.5,424.8,431.2,428.5,440.5,454.6,437.9,471.4,486.3,565.0,605.6
South Lanarkshire,406.2,417.2,405.0,414.9,417.1,427.6,427.2,441.0,438.7,466.6,467.0,491.5,522.7,529.7,551.2,632.0,636.6
East Riding of Yorkshire,407.1,397.2,404.6,396.9,398.2,398.2,412.4,403.3,412.9,421.9,438.7,490.4,445.2,492.5,536.0,564.3,602.4
Staffordshire Moorlands,407.2,392.0,404.0,378.0,353.6,408.6,399.8,388.7,404.9,399.4,440.8,476.5,495.0,483.7,517.9,597.6,586.5
Bury,408.3,403.9,418.7,416.0,405.1,420.7,417.9,457.8,452.5,467.4,457.4,498.9,525.2,528.9,552.9,574.1,626.8
Swindon,408.5,411.1,413.7,418.7,407.0,418.7,429.5,443.6,464.0,454.2,479.6,507.0,517.0,527.8,555.5,616.6,643.4
Eastleigh,408.9,417.4,417.7,424.4,442.2,452.4,431.7,431.2,456.4,464.9,477.6,492.4,527.7,552.9,542.2,594.2,643.1
Warrington,410.2,424.2,428.5,402.7,411.8,417.9,439.0,454.7,460.0,478.9,468.8,489.3,463.5,506.3,536.6,586.0,636.0
Monmouthshire,411.3,416.5,417.8,419.9,379.7,471.8,467.8,495.7,488.3,514.2,491.0,504.5,502.0,606.3,584.3,580.5,672.4
Brighton and Hove,411.9,402.3,412.6,413.7,422.8,417.8,415.9,438.3,436.6,458.3,470.8,484.5,488.5,494.4,520.6,568.7,626.9
West Lancashire,412.3,414.3,405.6,414.4,430.0,433.8,428.3,400.3,413.0,421.6,418.6,469.1,430.2,452.5,492.4,561.0,603.8
Ashford,412.5,397.9,390.6,392.5,401.8,435.3,401.0,415.0,468.2,479.1,477.4,507.1,452.3,515.4,560.8,576.8,628.7
Ribble Valley,413.6,415.7,425.7,429.5,438.6,435.0,460.7,453.1,440.4,430.8,498.1,508.4,484.7,511.2,542.6,603.4,608.2
Maidstone,414.1,441.1,456.7,422.5,432.9,426.9,439.3,451.4,463.7,459.6,486.6,487.2,508.4,552.2,537.8,593.9,619.0
Broxbourne,414.2,426.1,459.0,448.3,465.8,476.2,454.0,493.0,489.6,516.4,511.6,515.0,604.0,566.6,612.0,650.4,670.5
Gravesham,414.5,455.4,408.3,412.3,441.3,410.2,410.2,423.2,439.7,421.6,458.0,483.9,479.1,527.6,560.0,623.7,595.5
Stafford,415.4,415.4,398.3,399.1,393.7,431.3,406.2,401.7,413.6,418.8,490.0,508.3,503.2,526.6,585.6,649.8,671.6
Oadby and Wigston,415.8,379.2,400.8,391.1,391.7,415.1,382.5,397.9,392.9,410.9,432.8,460.0,502.9,448.4,479.7,525.7,547.8
East Lothian,416.0,400.1,405.8,407.7,414.0,427.9,417.8,431.6,427.8,447.8,459.0,509.8,494.8,491.5,517.0,593.7,632.0
Oxford,416.4,432.1,424.5,433.7,434.9,442.8,480.9,475.5,510.4,498.3,511.6,498.3,498.3,536.6,561.5,621.0,690.5
SouthendonSea,416.5,413.0,421.7,402.5,441.6,427.2,447.0,422.4,458.3,442.8,488.4,514.4,488.7,523.2,573.2,595.5,667.7
Lichfield,416.6,449.8,465.3,433.1,422.2,440.2,440.8,456.1,465.0,504.5,516.1,522.6,514.1,580.5,577.5,637.7,706.3
Stevenage,416.9,405.2,428.0,431.5,430.6,408.8,411.9,420.7,414.6,489.4,508.0,458.7,517.5,479.5,540.5,583.7,645.7
Cherwell,417.6,453.4,426.9,413.0,440.5,423.6,436.4,454.3,483.9,500.7,486.7,498.3,518.6,549.1,601.6,609.2,679.4
Derbyshire Dales,418.4,414.5,442.6,420.5,413.7,415.4,394.9,403.2,460.9,460.0,413.5,435.3,453.5,432.0,505.1,603.3,578.8
City of Edinburgh,418.4,421.6,432.5,434.2,444.3,447.4,443.6,459.8,469.6,478.8,476.3,498.3,539.5,533.0,564.2,627.5,651.6
Rugby,420.2,427.5,436.0,443.5,438.4,493.2,478.8,465.4,494.1,494.6,533.7,492.3,527.8,579.9,608.9,598.4,678.9
Warwick,421.1,424.0,448.4,442.0,468.6,474.4,479.7,478.6,515.3,491.6,534.6,549.7,555.3,582.2,604.5,693.5,699.6
Lewes,421.9,415.9,412.7,406.8,415.0,429.4,430.5,427.8,395.1,411.7,476.8,483.7,512.2,553.5,534.4,525.8,544.8
Wealden,422.8,432.1,427.5,415.0,406.0,383.3,418.0,424.0,440.7,457.8,444.4,454.9,456.5,487.7,512.2,529.6,587.8
Trafford,424.0,429.5,439.1,428.1,438.3,444.3,453.2,434.8,498.8,488.7,549.7,556.5,515.4,545.1,593.3,609.4,664.7
Rushcliffe,424.0,467.0,457.0,463.7,479.4,463.0,475.8,485.8,535.6,536.7,534.1,552.4,530.1,540.9,555.7,626.5,658.7
Rochford,424.0,410.5,403.9,446.8,415.2,460.8,450.4,421.2,476.4,486.8,507.3,465.1,480.7,632.0,653.9,650.5,708.8
Enfield,424.9,460.2,439.4,475.8,455.4,450.3,462.8,473.6,463.9,479.8,464.8,490.1,492.6,521.5,562.0,598.2,646.2
Swale,425.2,412.0,433.9,418.4,418.8,428.7,431.0,423.8,437.1,474.5,498.8,490.5,465.3,480.6,543.8,568.3,620.3
Thurrock,426.2,415.7,430.1,454.7,434.9,447.3,448.2,461.4,487.2,498.2,476.7,521.2,512.7,585.6,614.8,634.5,698.5
North Somerset,426.7,426.4,445.2,442.9,430.4,440.8,436.5,442.4,446.3,435.3,450.3,471.5,503.6,489.9,559.4,593.1,646.4
Central Bedfordshire,428.1,448.7,471.6,449.4,461.9,497.3,473.7,473.4,498.4,501.1,498.7,557.7,548.8,581.1,633.7,660.3,719.8
Milton Keynes,430.1,433.5,436.0,450.1,450.1,454.8,441.3,453.7,479.1,487.6,516.3,545.0,521.1,561.8,609.7,609.4,649.1
Chelmsford,430.5,422.8,434.4,463.3,442.9,447.3,458.1,459.8,481.9,479.8,513.2,536.0,518.4,567.1,571.5,601.9,644.0
Rutland,431.2,455.4,444.9,433.5,435.8,451.8,419.2,449.2,414.4,458.6,458.8,534.5,439.0,567.5,607.8,709.0,766.9
Stroud,432.4,406.0,417.7,419.4,421.6,430.0,429.9,433.9,446.6,457.8,473.7,460.0,439.4,484.6,527.3,603.0,599.5
South Oxfordshire,432.5,437.1,426.0,454.6,472.6,462.0,459.7,483.0,559.8,546.7,558.7,615.3,574.9,594.5,682.1,689.1,732.6
StratfordonAvon,433.4,435.4,411.1,419.3,429.5,428.0,422.6,404.5,469.8,488.6,508.4,498.2,507.8,524.5,610.2,574.0,623.9
Cambridge,433.4,477.2,475.1,479.2,490.0,479.3,456.7,485.3,504.9,528.8,553.7,558.7,575.3,632.0,619.5,713.6,736.5
Reading,434.1,472.7,470.3,430.9,478.0,484.9,452.4,494.8,472.0,502.6,505.9,525.5,537.0,573.0,574.9,579.4,627.4
Slough,434.4,440.9,432.8,431.5,470.3,454.6,481.5,494.1,493.5,486.4,522.6,524.5,536.4,567.8,597.3,661.7,670.1
Hounslow,435.0,469.3,479.0,473.2,479.1,479.1,463.5,495.6,500.9,517.0,533.6,547.6,511.8,567.2,604.1,637.9,659.3
Huntingdonshire,435.3,437.9,476.5,439.0,458.8,466.4,468.7,466.5,488.7,494.6,508.1,530.4,533.4,541.1,576.7,613.8,644.1
Medway,435.3,431.4,433.5,442.2,435.3,438.6,456.1,474.4,484.5,464.6,486.1,521.4,506.8,522.8,527.2,594.1,626.8
Fylde,435.6,399.6,422.2,405.0,406.0,428.4,436.4,400.3,396.1,449.6,477.5,534.4,482.2,527.0,525.2,665.5,549.3
Brent,437.0,439.1,423.1,414.9,442.0,441.8,441.8,457.6,467.0,471.0,479.9,524.0,531.8,555.7,556.6,634.6,646.2
East Hampshire,438.5,458.6,444.2,444.7,457.0,457.5,470.9,460.0,499.3,528.3,543.5,553.3,534.2,569.4,595.9,619.7,652.7
Cheltenham,439.6,435.4,424.9,422.7,439.2,451.8,429.7,447.9,467.4,480.2,513.8,506.0,507.4,566.0,619.8,571.3,638.6
East Renfrewshire,439.6,429.4,497.9,491.4,470.4,514.0,547.8,538.8,537.2,552.4,582.6,672.0,652.6,633.9,652.9,775.7,764.5
West Oxfordshire,439.8,443.2,445.3,467.7,472.8,459.3,450.7,473.6,449.9,470.5,454.2,484.9,502.3,504.4,550.2,593.7,653.5
Castle Point,439.9,427.0,389.3,426.5,426.9,435.4,428.1,402.1,411.1,447.5,467.6,464.1,517.5,509.6,526.4,613.3,675.1
South Cambridgeshire,440.0,479.6,479.7,472.9,479.1,512.6,492.2,508.1,541.0,531.1,572.0,632.4,574.9,666.2,664.1,712.5,728.3
Maldon,441.0,506.5,492.5,498.0,520.1,543.6,488.8,454.6,555.5,494.8,477.1,517.5,488.5,521.6,563.7,546.9,649.0
Basingstoke and Deane,443.0,454.1,479.3,500.2,492.6,503.0,525.6,517.5,519.7,533.3,539.6,542.8,564.5,636.5,646.0,654.6,728.1
Tunbridge Wells,444.9,481.3,482.5,490.5,529.5,493.6,514.1,463.1,470.1,490.4,536.7,535.2,538.5,583.2,593.3,651.4,719.2
Welwyn Hatfield,445.6,491.1,502.5,450.6,456.2,479.4,480.8,432.3,487.2,493.1,497.5,504.5,505.7,536.6,547.7,613.1,657.2
Hertsmere,445.8,433.2,467.1,460.0,456.4,462.3,428.8,471.2,498.1,518.9,556.6,569.9,545.3,526.0,546.6,622.1,704.5
Lewisham,446.4,486.9,492.7,473.2,499.6,525.5,518.5,517.5,520.6,535.2,551.2,552.0,574.9,574.9,608.4,662.3,706.4
Solihull,447.1,454.3,454.8,446.9,457.2,464.2,472.0,460.9,487.0,480.9,480.5,533.2,564.3,600.2,616.9,643.6,655.4
Barking and Dagenham,449.9,448.8,429.3,452.1,450.0,441.2,422.5,436.6,462.2,461.0,479.1,471.0,486.7,508.7,536.6,558.4,612.9
North Hertfordshire,450.4,464.0,523.1,518.6,491.6,508.7,491.7,506.1,496.7,551.2,541.4,573.0,574.9,577.8,628.7,700.9,719.9
Broxtowe,450.7,445.5,414.4,421.3,453.5,448.3,472.5,459.0,479.4,492.3,497.3,500.4,536.7,509.3,549.9,576.3,611.3
Mid Sussex,452.8,454.0,445.5,450.0,469.7,469.5,512.6,498.3,478.4,530.7,515.3,516.9,517.8,541.4,604.4,674.9,651.6
Dacorum,453.2,441.8,482.7,452.9,442.4,467.4,481.5,467.4,514.7,495.4,539.8,527.7,544.0,537.4,564.0,599.4,618.4
Mole Valley,453.3,523.4,555.1,509.1,508.8,490.6,510.0,491.9,492.1,489.1,479.1,479.1,448.5,526.7,566.3,619.2,698.9
Tonbridge and Malling,454.6,449.6,433.9,461.5,466.8,479.8,448.1,522.5,513.0,511.5,527.8,564.7,576.8,593.5,598.5,592.4,664.2
Uttlesford,455.2,450.4,414.9,458.8,472.6,455.7,450.4,472.7,507.5,507.2,563.3,575.6,541.4,528.0,575.0,658.6,703.9
Vale of White Horse,458.4,484.7,479.9,465.5,480.5,476.5,494.6,482.0,532.1,518.1,534.4,566.0,574.6,606.9,645.7,657.5,724.8
Tandridge,460.3,460.0,481.2,497.4,506.0,472.2,521.4,550.6,525.1,508.2,573.9,546.0,555.3,574.8,666.1,589.5,663.7
Winchester,464.1,483.5,488.2,503.6,483.4,497.8,493.8,532.0,557.1,560.9,589.3,556.1,569.8,598.0,628.0,652.3,710.7
Bracknell Forest,464.5,467.2,507.8,502.0,501.2,511.9,499.2,508.0,505.2,497.6,524.5,566.9,553.8,636.2,609.6,662.8,700.9
Three Rivers,466.1,502.1,545.9,490.2,449.8,469.4,495.7,483.3,503.2,524.2,528.7,553.5,519.1,565.5,660.2,651.6,718.1
Waltham Forest,466.7,476.2,475.7,464.4,472.6,441.8,444.8,476.3,483.4,499.4,529.7,574.9,596.8,629.6,647.0,683.5,717.7
Dartford,467.7,464.0,454.0,474.4,480.1,479.1,496.8,503.3,527.2,544.4,538.4,553.0,577.7,569.1,632.4,640.6,650.2
Braintree,469.5,442.5,432.0,441.7,460.7,500.6,472.0,432.1,460.2,475.4,497.3,498.3,472.2,516.5,561.4,597.6,679.2
Hackney,472.6,503.7,501.3,517.4,511.4,519.0,513.0,534.5,527.8,558.1,555.4,574.9,574.9,576.8,632.8,667.7,762.5
Buckinghamshire,474.1,479.1,498.3,479.1,491.4,479.1,474.9,481.0,498.4,515.7,535.4,555.8,536.6,558.6,589.3,646.0,679.0
Epping Forest,475.7,473.4,520.2,500.5,510.5,518.5,503.4,527.1,518.1,497.6,526.8,549.7,527.0,558.8,607.6,648.7,690.6
West Berkshire,476.4,462.3,474.2,459.7,469.7,448.1,479.2,510.4,514.3,516.4,512.5,555.8,524.9,589.2,592.6,652.0,678.7
Woking,477.3,477.9,456.3,463.3,502.9,508.7,520.8,511.0,523.8,536.6,526.8,575.4,574.9,617.3,632.2,725.5,763.6
Harrow,479.1,494.3,506.1,487.7,471.7,478.9,492.3,505.1,522.8,543.4,534.9,581.9,570.5,580.2,619.6,625.2,669.2
Hillingdon,479.1,480.0,499.8,497.4,509.7,522.2,492.5,498.8,499.8,500.4,531.7,545.9,560.9,594.8,629.6,677.5,689.9
Horsham,480.6,448.8,446.0,460.0,460.0,464.0,460.0,453.9,476.2,455.7,493.9,485.6,504.6,507.0,583.4,621.9,664.3
Greenwich,480.8,513.2,488.7,488.0,470.5,516.5,509.1,532.5,539.3,553.0,566.0,579.5,573.1,618.3,657.4,719.4,749.6
Croydon,481.6,496.0,515.5,481.7,493.2,481.4,499.0,492.2,512.3,538.5,550.6,561.7,565.1,613.3,667.0,678.0,721.3
Sevenoaks,482.9,471.2,447.2,433.0,450.4,449.0,479.1,478.8,480.4,498.3,498.3,573.0,542.1,561.5,548.5,639.6,733.2
Bexley,483.9,486.3,518.1,505.1,509.1,497.9,512.6,491.1,487.0,513.0,512.7,553.4,566.5,586.6,634.4,680.2,694.4
Runnymede,485.9,494.1,531.4,493.5,460.3,490.5,516.8,508.8,508.6,502.0,536.7,583.4,518.5,658.7,644.0,676.2,766.6
Southwark,493.2,526.7,521.2,530.5,536.6,524.4,529.0,557.0,543.0,587.1,589.4,628.0,620.9,637.8,672.3,731.5,788.6
Lambeth,494.5,522.4,574.9,536.7,574.8,536.6,547.0,542.9,551.7,594.6,617.1,634.8,670.8,681.2,703.0,774.1,797.4
Watford,497.8,520.2,498.0,520.0,507.9,507.8,508.9,535.6,517.2,544.9,517.6,546.3,571.2,556.7,573.9,647.4,652.4
Haringey,498.4,489.3,495.7,471.8,489.1,464.6,467.7,500.0,481.9,525.3,551.4,547.6,567.8,546.0,604.3,668.4,727.8
Reigate and Banstead,499.0,511.8,555.3,547.9,587.7,563.5,514.9,535.2,528.3,580.6,581.0,610.0,592.9,609.0,640.4,723.1,746.9
Guildford,500.0,528.8,530.2,534.0,536.6,539.9,555.6,534.0,569.4,592.0,594.6,631.1,591.0,629.3,691.9,667.9,719.4
Barnet,502.2,528.1,501.6,498.3,503.1,517.5,479.1,491.0,485.6,522.6,536.6,536.4,538.8,574.9,624.3,633.1,714.6
Waverley,502.3,495.8,492.0,536.2,503.1,488.0,517.4,512.2,566.5,567.3,531.6,589.3,554.1,560.2,658.7,675.3,836.8
Ealing,504.1,498.9,494.5,486.6,495.0,502.1,498.4,495.7,498.3,517.2,524.3,532.2,566.8,582.6,597.4,623.1,684.8
Sutton,505.3,503.2,495.3,497.9,517.5,518.0,508.3,498.3,532.9,515.2,548.7,549.0,543.3,576.9,577.3,635.1,728.7
Havering,506.4,485.7,493.7,505.3,500.9,489.7,499.1,517.5,532.6,534.2,544.8,568.5,574.9,585.7,612.9,670.7,710.8
East Hertfordshire,508.6,521.8,534.0,496.3,486.6,480.8,478.9,509.8,543.4,545.9,574.9,601.6,574.9,586.1,667.1,737.5,740.6
Kingston upon Thames,516.7,566.2,544.4,579.8,601.1,604.2,556.5,574.6,566.7,579.9,629.7,628.0,617.3,667.9,668.1,684.3,727.4
Wokingham,518.4,498.5,528.2,561.9,536.4,546.8,527.6,556.9,601.7,576.7,601.6,593.7,545.5,661.6,688.9,726.1,756.0
St Albans,521.8,566.5,566.6,594.2,575.9,627.7,590.7,564.9,612.6,608.2,665.2,635.7,686.3,680.3,689.4,758.4,787.4
Windsor and Maidenhead,522.6,514.6,560.7,598.1,596.1,533.9,566.6,600.4,621.8,565.1,574.9,599.3,614.6,594.0,665.2,651.4,727.9
Merton,526.0,529.7,531.5,536.9,538.4,527.0,542.9,548.1,585.3,573.0,594.1,578.9,578.3,592.1,584.4,745.3,721.6
Redbridge,526.9,518.5,506.1,479.5,526.7,503.9,517.6,533.1,521.8,546.8,555.8,565.6,581.6,579.3,581.7,632.7,669.0
Surrey Heath,537.1,529.4,555.9,535.7,581.8,537.9,518.1,543.7,564.0,622.9,634.8,638.2,633.1,698.5,677.7,761.6,792.0
Bromley,546.0,545.6,527.2,551.7,566.6,581.1,578.5,583.8,584.3,608.0,632.7,638.3,613.2,666.6,704.2,718.0,818.9
Hart,547.0,505.7,544.5,585.0,561.7,545.2,579.9,543.9,507.9,568.2,546.2,577.2,608.6,586.3,646.7,654.5,787.8
Tower Hamlets,548.1,556.2,547.1,542.3,566.8,575.1,574.9,554.9,557.9,592.0,627.6,688.9,665.0,685.2,725.2,785.8,766.5
Epsom and Ewell,551.1,510.2,460.0,529.5,567.8,542.3,514.6,527.3,545.2,595.0,583.0,599.5,525.5,552.6,651.7,708.0,742.0
Brentwood,553.8,562.3,581.4,587.3,517.0,564.7,575.3,613.8,608.0,578.1,616.1,622.4,585.7,556.4,710.7,773.7,772.3
Spelthorne,560.1,555.4,552.4,543.3,559.2,531.2,552.3,567.8,567.6,536.7,532.6,557.2,576.0,592.8,578.8,679.8,709.0
Islington,566.7,588.2,599.0,598.5,605.1,606.0,613.5,603.7,613.3,646.1,687.7,699.1,690.1,670.7,701.4,766.6,811.2
Elmbridge,574.1,557.0,551.5,585.6,534.7,516.1,555.1,587.5,575.0,574.4,615.5,680.9,569.9,635.3,624.9,682.8,834.0
Hammersmith and Fulham,584.8,585.1,596.9,594.1,613.3,610.7,609.9,646.7,641.9,651.1,682.0,728.0,713.1,727.0,732.6,790.1,798.5
Camden,614.6,621.1,583.0,612.0,612.0,629.5,613.1,588.1,632.5,614.3,634.4,662.0,623.0,695.0,699.2,732.1,766.6
Wandsworth,618.8,631.8,643.0,651.6,632.3,644.1,661.1,670.1,684.7,681.2,695.7,720.9,755.2,746.0,835.8,844.7,843.3
Richmond upon Thames,642.5,617.7,668.7,665.0,670.8,670.5,654.2,648.0,688.8,665.9,677.6,721.1,702.9,704.5,709.3,749.5,824.0
Westminster,670.8,672.2,718.7,670.8,701.0,625.0,659.6,656.0,667.5,730.8,757.1,703.9,701.1,771.1,738.5,767.5,843.3
Kensington and Chelsea,774.7,805.2,791.5,793.9,655.0,726.7,641.3,632.4,651.6,784.4,670.6,763.7,802.0,763.6,719.1,855.9,810.1
Cumberland,,,,,,,,,,,,,,,508.7,578.0,619.1
Westmorland and Furness,,,,,,,,,,,,,,,516.2,582.5,627.7
North Northamptonshire,,,,,,,,,,,,,,,527.8,567.0,613.0
West Northamptonshire,,,,,,,,,,,,,,,536.7,581.3,628.1
East Suffolk,,,,,,,,,,,,,,,481.7,541.4,545.4
West Suffolk,,,,,,,,,,,,,,,511.3,581.8,585.1
"Bournemouth, Christchurch and Poole",,,,,,,,,,,440.5,460.0,450.4,469.4,509.3,541.6,583.0
City of London,,762.4,,,,,,,,,909.4,,,,,,
Orkney Islands,,358.3,350.9,334.1,330.0,324.7,344.1,352.8,386.0,318.0,,392.0,445.8,437.8,474.8,507.3,549.0
Shetland Islands,,396.7,435.6,448.7,471.9,446.0,439.8,462.5,485.1,489.3,465.3,487.3,481.3,574.4,552.9,,570.9
