LAD23NM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North Kesteven,337.2,362.9,375.8,375.5,382.8,365.4,384.4,402.0,424.8,436.4,430.4,455.3,513.7,518.1,505.4,572.9,610.3
West Lindsey,338.5,362.7,378.4,376.7,368.3,362.2,364.1,401.0,392.5,420.5,457.4,470.9,487.2,528.3,528.9,551.7,567.3
Newcastle upon Tyne,338.6,364.8,353.4,333.5,345.0,391.1,372.4,394.8,406.5,404.0,430.9,436.8,422.8,469.5,504.9,536.6,593.8
South Tyneside,340.3,363.9,355.8,360.5,378.8,370.0,390.2,388.1,392.5,407.0,418.4,406.9,445.4,462.4,499.1,503.1,546.3
Dudley,340.3,356.2,366.6,361.4,373.0,389.1,370.2,409.7,420.5,433.3,444.3,473.1,483.9,486.3,516.7,518.2,575.3
Bridgend,341.5,353.5,352.4,349.9,350.5,369.2,370.9,371.4,427.0,407.0,435.0,449.4,446.5,471.4,518.2,560.5,621.2
Northumberland,342.0,364.3,377.0,371.5,381.9,375.2,389.5,389.0,402.0,413.2,416.5,429.6,433.2,459.2,488.0,545.1,575.6
North Tyneside,342.9,363.9,369.2,374.1,365.6,381.2,381.2,399.0,406.3,428.3,412.2,460.0,477.0,490.0,527.0,566.7,604.4
Manchester,342.9,370.1,349.1,347.9,362.4,367.1,380.7,390.2,384.6,402.3,421.6,442.8,440.7,460.0,482.7,536.6,565.0
Rotherham,342.9,353.8,357.5,352.7,360.1,360.5,367.2,367.2,389.6,377.9,397.9,417.8,415.2,430.9,471.1,495.3,550.9
Dorset,343.0,359.5,377.2,364.0,358.7,367.0,379.8,394.4,393.0,402.5,414.5,432.2,427.6,467.8,509.6,554.3,580.5
Nottingham,343.5,345.0,354.6,357.9,353.4,353.7,339.8,350.2,358.5,364.1,383.3,399.5,410.9,410.4,432.8,469.4,502.0
Burnley,343.8,353.6,360.2,346.7,367.1,365.8,384.6,366.1,416.2,382.4,402.5,431.2,409.5,463.0,467.0,501.3,567.4
Wyre Forest,343.8,362.1,348.0,337.6,331.2,359.6,355.7,376.5,382.3,384.4,374.3,417.6,465.6,472.3,500.0,522.0,583.7
Fenland,343.8,327.5,380.1,372.7,365.7,392.8,402.8,388.7,413.6,426.6,427.1,421.2,463.4,464.0,513.7,578.4,607.4
Mansfield,344.3,355.8,350.6,332.5,323.2,325.3,351.1,345.0,348.2,368.4,375.3,383.5,419.4,437.4,485.6,508.5,536.4
StocktononTees,344.4,385.4,375.4,387.4,405.3,421.4,407.2,399.6,416.2,435.7,423.6,453.5,467.6,471.4,511.6,521.4,544.6
Knowsley,344.5,366.9,386.0,377.7,378.0,380.2,376.2,402.9,422.2,428.6,434.2,429.2,488.6,499.2,526.8,578.5,616.1
Cotswold,344.5,337.4,353.5,318.9,361.2,349.5,358.5,398.4,410.5,433.6,465.7,479.1,507.3,475.6,496.2,573.1,616.8
Mid Devon,344.9,334.3,352.4,349.6,346.3,350.4,368.8,404.5,408.7,420.9,416.6,440.7,419.9,459.2,479.1,515.5,576.2
Blackburn with Darwen,345.0,342.7,343.4,320.2,317.2,349.3,341.0,344.8,355.4,350.7,383.2,400.0,403.2,430.0,462.8,491.6,528.1
Luton,345.0,367.5,370.0,393.2,396.8,386.7,373.7,406.6,404.6,445.7,438.6,464.5,490.1,486.5,500.7,536.2,581.7
Harlow,345.0,369.0,363.8,371.5,356.7,406.6,401.3,419.3,425.1,450.8,478.5,457.6,468.1,477.1,535.9,526.9,589.4
West Dunbartonshire,345.0,353.7,356.4,353.7,365.6,393.9,383.4,380.4,419.3,424.2,434.0,424.9,469.5,486.7,500.2,582.2,568.4
East Devon,345.3,365.0,354.3,376.4,386.1,393.7,383.3,394.4,413.5,395.3,392.7,426.1,422.9,461.3,491.7,535.7,557.5
Sunderland,345.8,349.9,368.3,364.7,366.5,366.2,379.3,374.6,390.3,404.8,408.3,413.7,425.1,435.0,459.7,504.1,547.5
Halton,345.9,370.7,357.5,368.0,377.6,407.4,381.9,406.0,429.5,403.6,425.2,426.4,463.9,478.3,487.0,556.7,585.5
Hyndburn,346.0,333.3,369.5,344.0,338.9,346.5,358.4,372.9,374.0,378.6,412.9,449.9,397.6,420.9,502.9,512.7,574.6
Swansea,346.6,374.1,373.1,352.2,350.8,368.4,394.0,375.2,401.5,404.7,436.4,440.3,447.3,462.8,503.8,524.8,546.0
Broadland,346.7,365.4,368.8,377.0,383.9,384.8,356.6,373.3,383.9,412.5,416.2,435.3,431.4,454.4,511.5,609.4,574.9
Scottish Borders,346.8,351.5,365.6,356.2,342.7,394.2,399.6,418.0,389.8,425.0,416.6,453.3,439.0,460.5,476.7,539.6,566.5
